2015-07-04 14:07:09 59.167.252.95 1 _2015-07-04 14:07:09 59.167.252.95 1 _2015-07-04 14:07:33 59.167.252.95 1 _
2015-07-04 14:07:34 59.167.252.95 1 _
2015-07-04 14:07:26 59.167.252.95 1 _
[2015-07-04 14:07:47] 59.167.252.95 1 _
[2015-07-04 14:07:09] 59.167.252.95 1 2
[2015-07-04 14:07:32] 59.167.252.95 1,2
[2015-07-04 14:07:44] 59.167.252.95 87.1,23.12
[2015-07-04 14:07:00][59.167.252.95] 87.1,23.12
[2015-07-04 15:07:00][59.167.252.95] XX,YY
[2015-07-04 15:07:02][59.167.252.95] XX,YY
[2015-07-04 15:07:07][59.167.252.95] XX,YY
[2015-07-04 15:07:08][59.167.252.95] 87.1,23.12
[2015-07-04 15:07:05][59.167.252.95] XX,YY
[2015-07-04 15:07:10][59.167.252.95] XX,YY
[2015-07-04 15:07:31][59.167.252.95] XX,YY
[2015-07-04 15:07:39][59.167.252.95] XX,YY
[2015-07-04 16:07:40][59.167.252.95] -33.889368999999995,YY
[2015-07-04 16:07:06][59.167.252.95] -33.889357499999996,YY
[2015-07-04 17:07:04][59.167.252.95] -33.889361199999996,YY
[2015-07-04 17:07:59][59.167.252.95] -33.8893741,YY
[2015-07-04 17:07:46][59.167.252.95] -33.8893781,YY
[2015-07-04 17:07:52][59.167.252.95] -33.8893595,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893728,YY
[2015-07-04 17:07:10][59.167.252.95] -33.889368999999995,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:40][59.167.252.95] -33.8893455,YY
[2015-07-04 17:07:35][59.167.252.95] -33.889345999999996,YY
[2015-07-04 18:07:25][101.171.213.85] -33.88894295323071,YY
[2015-07-04 18:07:27][101.171.213.85] -33.8891654508504,YY
[2015-07-04 18:07:28][101.171.213.85] -33.88932965233353,YY
[2015-07-04 18:07:34][101.171.213.85] -33.889565728636356,YY
[2015-07-04 18:07:34][101.171.213.85] geo(-33.88917112288319,YY) speed(0) heading(0)
[2015-07-04 18:07:33][101.171.213.85] geo(-33.889321444107225,YY) speed(0) heading(0)
[2015-07-04 18:07:57][101.171.213.85] geo(-33.88989131539062,YY) speed(0) heading(0)
[2015-07-04 18:07:01][101.171.213.85] geo(-33.88917097963972,151.17486918091078) speed(0) heading(0)
[2015-07-04 20:07:56][150.101.121.95] geo(XX,YY) speed(0) heading(0)
[2015-07-04 20:07:58][150.101.121.95] geo(XX,YY) speed(0) heading(0)
[2015-07-04 20:07:59][150.101.121.95] geo(XX,YY) speed(0) heading(0)
[2015-07-04 20:07:59][150.101.121.95] geo(XX,YY) speed(0) heading(0)
[2015-07-04 20:07:00][150.101.121.95] geo(XX,YY) speed(0) heading(0)
[2015-07-04 20:07:00][150.101.121.95] geo(XX,YY) speed(0) heading(0)
[2015-07-04 20:07:01][150.101.121.95] geo(XX,YY) speed(0) heading(0)
